ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
97648,Viktor Pavlovych Putiatin,M,30,187,80,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's Foil, Team",Silver
97661,"Emiel Adrien ""Miel"" Puttemans",M,24,175,68,Belgium,BEL,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 10,000 metres",Silver
97663,Jrg Puttlitz,M,36,198,93,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxless Fours,Bronze
97665,Vladimir Nikolayevich Putyatov,M,26,191,88,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,Bronze
97671,Martin Putze,M,21,181,100,Germany-1,GER,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,Gold
97671,Martin Putze,M,25,181,100,Germany-1,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,Silver
97672,Karen Putzer,F,23,161,59,Italy,ITA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Super G,Bronze
97682,Carlos Puyol Saforcada,M,22,178,78,Spain,ESP,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Silver
97684,Nikolay Vasilyevich Puzanov,M,29,179,80,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
97686,Olga Vasilyevna Puzhevich,F,17,167,43,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
97689,Mirko Puzovi,M,28,176,63,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight,Bronze
97696,Janusz Gerard Pyciak-Peciak,M,27,171,68,Poland,POL,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
97703,Olga Valeryevna Pylyova-Medvedtseva (Zamorozova-),F,26,163,55,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 10 kilometres Pursuit,Gold
97703,Olga Valeryevna Pylyova-Medvedtseva (Zamorozova-),F,26,163,55,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
97703,Olga Valeryevna Pylyova-Medvedtseva (Zamorozova-),F,34,163,55,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
97715,Dana Pyritz,F,21,187,79,Germany,GER,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Bronze
97718,"Vladimir Vasilyevich ""Vlad"" Pyshnenko",M,22,194,89,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
97718,"Vladimir Vasilyevich ""Vlad"" Pyshnenko",M,22,194,89,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
97718,"Vladimir Vasilyevich ""Vlad"" Pyshnenko",M,22,194,89,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
97718,"Vladimir Vasilyevich ""Vlad"" Pyshnenko",M,26,194,89,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
97724,Roger Pyttel,M,23,176,68,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Butterfly,Silver
97724,Roger Pyttel,M,23,176,68,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Butterfly,Bronze
97726,Olha Iosypivna Pyvovarova,F,24,180,77,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,Silver
97730,Sergey Nikolayevich Pyzhyanov,M,31,170,75,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver
97740,Elmar Qasmov,M,25,188,100,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Heavyweight,Silver
